  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.524644897941974378E-03  9.958514185477995717E-01  6.670095520736506467E-01 -3.469446951953614189E-17  0.000000000000000000E+00  2.737128822255943561E+00  1.951276655733515941E+00  7.858521665224340591E-01
  1.617660310573361664E-03  9.955997688359505826E-01  6.658149031815566721E-01 -9.020562075079396891E-17  0.000000000000000000E+00  2.734004680799533293E+00  1.948637658683339824E+00  7.853670221161964671E-01
  1.713099907763501783E-03  9.953418485258610504E-01  6.645904299156288886E-01  9.020562075079396891E-17  0.000000000000000000E+00  2.730802450627791256E+00  1.946760457659410415E+00  7.840419929683836164E-01
  1.811068287378311565E-03  9.950774142906720909E-01  6.633349895512804517E-01 -8.326672684688674053E-17  0.000000000000000000E+00  2.727519463671395972E+00  1.944033496191533983E+00  7.834859674798705376E-01
  1.911073237006738782E-03  9.948078392624168931E-01  6.620551146647910556E-01  1.040834085586084257E-16  0.000000000000000000E+00  2.724172393860460506E+00  1.940911797122559346E+00  7.832605967379091538E-01
  2.012337169447974642E-03  9.945352507742606374E-01  6.607609231026715380E-01  6.938893903907228378E-17  0.000000000000000000E+00  2.720787995928775516E+00  1.938080100555982010E+00  7.827078953728018318E-01
  2.116107895163506572E-03  9.942562785890574073E-01  6.594364378627171064E-01  1.318389841742373392E-16  0.000000000000000000E+00  2.717324231323596795E+00  1.935363757381735272E+00  7.819604739418671846E-01
  2.222908416624571649E-03  9.939694838894043150E-01  6.580748558721705166E-01 -3.469446951953614189E-17  0.000000000000000000E+00  2.713763400658110836E+00  1.932383609389294543E+00  7.813797912688235092E-01
  2.331263893215325140E-03  9.936788269171976662E-01  6.566950035276263309E-01 -1.040834085586084257E-16  0.000000000000000000E+00  2.710156403132514491E+00  1.929100696570643425E+00  7.810557065618777273E-01
  2.441068259757255433E-03  9.933845978971831414E-01  6.552982617492792983E-01  5.551115123125782702E-17  0.000000000000000000E+00  2.706503485872127079E+00  1.926687612325697962E+00  7.798158735464375546E-01
  2.548433460855822810E-03  9.930972189031391784E-01  6.539341173249659800E-01 -2.151057110211240797E-16  0.000000000000000000E+00  2.702935758331267202E+00  1.923471767644057584E+00  7.794639906872173896E-01
  2.653243527648934969E-03  9.928169919292699763E-01  6.526040041262133329E-01 -1.804112415015879378E-16  0.000000000000000000E+00  2.699457046869162991E+00  1.920665886312949322E+00  7.787911605562219952E-01
  2.756678610869013179E-03  9.925404333146992109E-01  6.512914880733451373E-01 -2.706168622523819067E-16  0.000000000000000000E+00  2.696024109191429652E+00  1.918119688606112483E+00  7.779044205853251626E-01
  2.858620624198763074E-03  9.922680957075822317E-01  6.499991179626782856E-01 -6.938893903907228378E-18  0.000000000000000000E+00  2.692643846230108551E+00  1.915454581890724040E+00  7.771892643393858435E-01
  2.958622787531611266E-03  9.920011272790052459E-01  6.487323423558128965E-01  1.110223024625156540E-16  0.000000000000000000E+00  2.689330560308707430E+00  1.912885994804813805E+00  7.764445655039116101E-01
  3.058161832183310322E-03  9.917355904573551539E-01  6.474724749570787141E-01  0.000000000000000000E+00  0.000000000000000000E+00  2.686035301327132085E+00  1.910271803047518979E+00  7.757634982796313139E-01
  3.157103053263601508E-03  9.914718148983105994E-01  6.462210774236333277E-01  1.387778780781445676E-17  0.000000000000000000E+00  2.682762191312694888E+00  1.907681824751851662E+00  7.750803665608608783E-01
  3.255826107760648788E-03  9.912087096761108551E-01  6.449729773373517050E-01 -7.632783294297951215E-17  0.000000000000000000E+00  2.679497628028439493E+00  1.905173057626359467E+00  7.743245704020990106E-01
  3.354104957892371005E-03  9.909468642012065898E-01  6.437309651809618449E-01 -8.326672684688674053E-17  0.000000000000000000E+00  2.676248900644068840E+00  1.902527306868251999E+00  7.737215937758337159E-01
  3.452026621332766020E-03  9.906860593560321560E-01  6.424939876170010500E-01  3.747002708109903324E-16  0.000000000000000000E+00  2.673013259923617824E+00  1.899683957662065659E+00  7.733293022615709278E-01
  3.550384331414732208E-03  9.904241647926129710E-01  6.412519287288357406E-01  4.093947403305264743E-16  0.000000000000000000E+00  2.669764234463491537E+00  1.897071682506052515E+00  7.726925519574556755E-01
  3.649529224413528873E-03  9.901602266865455748E-01  6.400002557393222880E-01  2.706168622523819067E-16  0.000000000000000000E+00  2.666489949326180664E+00  1.894546031079048953E+00  7.719439182471520278E-01
  3.749206572857593112E-03  9.898949612986108759E-01  6.387423492953460125E-01 -2.081668171172168513E-17  0.000000000000000000E+00  2.663199229232310117E+00  1.891818265271698385E+00  7.713809639606307167E-01
  3.850553716237034574E-03  9.896254160663736643E-01  6.374641844871873353E-01  2.706168622523819067E-16  0.000000000000000000E+00  2.659855458412672125E+00  1.888888910023524659E+00  7.709665483891684490E-01
  3.952522129507896574E-03  9.893544345689769814E-01  6.361792173168077102E-01  4.024558464266192459E-16  0.000000000000000000E+00  2.656493881148918934E+00  1.886207939293711666E+00  7.702859418552276960E-01
  4.055950241710507519E-03  9.890798261479566422E-01  6.348770344805236832E-01  3.955169525227120175E-16  0.000000000000000000E+00  2.653087267161053475E+00  1.883404521978728985E+00  7.696827451823438082E-01
  4.160757963540460264E-03  9.888018448918460823E-01  6.335588181609550507E-01  3.885780586188047891E-16  0.000000000000000000E+00  2.649638754107614957E+00  1.880495676435861574E+00  7.691430776717750328E-01
  4.266687685201242010E-03  9.885212414212712906E-01  6.322281076448308390E-01  1.595945597898662527E-16  0.000000000000000000E+00  2.646157634048230456E+00  1.877552295665626314E+00  7.686053383826233487E-01
  4.373595224465385602E-03  9.882384471022271910E-01  6.308869341004859077E-01  3.400058012914541905E-16  0.000000000000000000E+00  2.642649220565498780E+00  1.874767240409695335E+00  7.678819801558203206E-01
  4.481054410151996507E-03  9.879546203961043771E-01  6.295407822953043020E-01  1.387778780781445676E-16  0.000000000000000000E+00  2.639127901978431723E+00  1.871732174239288060E+00  7.673957277391615373E-01
  4.589040093163133417E-03  9.876698393851331970E-01  6.281900183169618623E-01  1.110223024625156540E-16  0.000000000000000000E+00  2.635594603407167114E+00  1.868815007303194609E+00  7.667795961039912678E-01
  4.697600857664692431E-03  9.873839897395595422E-01  6.268340957082862985E-01  4.024558464266192459E-16  0.000000000000000000E+00  2.632047895217918487E+00  1.866036357751228891E+00  7.660115374667118004E-01
  4.806191558680022839E-03  9.870985327802829223E-01  6.254799398927504139E-01  2.359223927328457648E-16  0.000000000000000000E+00  2.628505886432041194E+00  1.863055977135875230E+00  7.654499092961885021E-01
